{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8925217}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.075741865}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.010621643}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999224}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:3.8376234e-05}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:2.1094927e-05}
{Name:n02415577 bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, Probability:0.6121082}  {Name:n02417914 ibex, Capra ibex, Probability:0.09229639}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.04674469}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9583427}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.020207014}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.0040737404}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99981886}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:7.311754e-05}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:5.2341285e-05}
{Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.76249015}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.08174893}  {Name:n02111500 Great Pyrenees, Probability:0.05543286}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8416358}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.08198269}  {Name:n02447366 badger, Probability:0.027133843}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.999355}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0006122678}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:1.6924469e-05}
{Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.43773592}  {Name:n02117135 hyena, hyaena, Probability:0.1207741}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.04881865}
{Name:n02077923 sea lion, Probability:0.2664952}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.2633294}  {Name:n03388043 fountain, Probability:0.14813805}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.36754948}  {Name:n09428293 seashore, coast, seacoast, sea-coast, Probability:0.32067683}  {Name:n01943899 conch, Probability:0.09321234}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.90495044}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.08431924}  {Name:n02117135 hyena, hyaena, Probability:0.007505766}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.98918426}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0027319505}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0016549366}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99590564}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0028373806}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0003445713}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9985545}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0006024742}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0005082455}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9979942}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0017897229}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00013905455}
{Name:n02444819 otter, Probability:0.857459}  {Name:n02077923 sea lion, Probability:0.03311196}  {Name:n02018795 bustard, Probability:0.017179241}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.97969353}  {Name:n02077923 sea lion, Probability:0.010094032}  {Name:n02444819 otter, Probability:0.0037869518}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9957118}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0017474826}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0012456615}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7449622}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0688619}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.06842958}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9935074}  {Name:n02077923 sea lion, Probability:0.0052025313}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0011616866}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.2905299}  {Name:n02488702 colobus, colobus monkey, Probability:0.16007125}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.044793274}
{Name:n02099267 flat-coated retriever, Probability:0.57876337}  {Name:n02105056 groenendael, Probability:0.1604728}  {Name:n02101006 Gordon setter, Probability:0.066160195}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99967563}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0001522314}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:6.477403e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99881786}  {Name:n02111500 Great Pyrenees, Probability:0.00047676658}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.00035783436}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.97691536}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.0050471066}  {Name:n02137549 mongoose, Probability:0.0032306593}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.7651873}  {Name:n02114367 timber wolf, grey wolf, gray wolf, Canis lupus, Probability:0.10306059}  {Name:n02447366 badger, Probability:0.043482233}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.995378}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0032685637}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.00036638777}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9998117}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00018796377}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:3.0378197e-07}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99539655}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0030790542}  {Name:n02077923 sea lion, Probability:0.0009336649}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99692}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0016132954}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0011342661}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99999595}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:2.121255e-06}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:1.0425775e-06}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9998869}  {Name:n02077923 sea lion, Probability:8.056167e-05}  {Name:n02074367 dugong, Dugong dugon, Probability:1.5146996e-05}
{Name:n02105056 groenendael, Probability:0.4008643}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.22750624}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.09068432}
{Name:n02098105 soft-coated wheaten terrier, Probability:0.3746302}  {Name:n02096437 Dandie Dinmont, Dandie Dinmont terrier, Probability:0.184098}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.07928089}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.44231838}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.23921871}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.11235728}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9999989}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:5.7676243e-07}  {Name:n02104029 kuvasz, Probability:1.820777e-07}
{Name:n02077923 sea lion, Probability:0.72271836}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.20778747}  {Name:n02444819 otter, Probability:0.018313874}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9909734}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0036229307}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0014209794}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8113216}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14997381}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.037506077}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9722651}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.027049843}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0006775271}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9905906}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0055285725}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.003865135}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99741936}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.001810657}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0006166752}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9972416}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0011844055}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0009250252}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.99794286}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0020478966}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:5.023087e-06}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8863769}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.103635415}  {Name:n01883070 wombat, Probability:0.0070954254}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6012731}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.3926112}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004017921}
{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.64676577}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.27006963}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.07007034}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9981293}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0013116513}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00026332235}
{Name:n03000134 chainlink fence, Probability:0.53041303}  {Name:n04540053 volleyball, Probability:0.108810075}  {Name:n03535780 horizontal bar, high bar, Probability:0.048155095}
{Name:n02108422 bull mastiff, Probability:0.15240821}  {Name:n02129604 tiger, Panthera tigris, Probability:0.10683326}  {Name:n03803284 muzzle, Probability:0.08825014}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6504224}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.1084544}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.10160374}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.91141695}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.056320425}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.004126446}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.61336714}  {Name:n02093754 Border terrier, Probability:0.079885975}  {Name:n02106662 German shepherd, German shepherd dog, German police dog, alsatian, Probability:0.05447745}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.51998484}  {Name:n02074367 dugong, Dugong dugon, Probability:0.12078664}  {Name:n02077923 sea lion, Probability:0.076026835}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9979188}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0014790291}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0004976316}
{Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.3122544}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.299864}  {Name:n02077923 sea lion, Probability:0.21090785}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99995923}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:1.4978508e-05}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:1.4654126e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99911386}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00027748395}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00019297452}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9856306}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.007237386}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0063113202}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99982613}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:7.790381e-05}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:3.2593947e-05}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9939855}  {Name:n02104029 kuvasz, Probability:0.004119941}  {Name:n02111500 Great Pyrenees, Probability:0.0012907493}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9622265}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.020754104}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.013581427}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9869131}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.006664739}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0044853496}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99616843}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0025819116}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0011172384}
