{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.4817549}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.14458753}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.09241017}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8001163}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.08623876}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.04423103}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9245798}  {Name:n02105056 groenendael, Probability:0.015337331}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.013901841}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6178213}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.30156097}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.014067427}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.45376837}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.09188468}  {Name:n02410509 bison, Probability:0.078678325}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n04371774 swing, Probability:0.23197435}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.15201995}  {Name:n02492035 capuchin, ringtail, Cebus capucinus, Probability:0.07174127}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6271403}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.12832794}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.11684169}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.64320177}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.35066453}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.004184711}
{Name:n02445715 skunk, polecat, wood pussy, Probability:0.4449196}  {Name:n02443114 polecat, fitch, foulmart, foumart, Mustela putorius, Probability:0.109564975}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.027798273}
{Name:n09468604 valley, vale, Probability:0.3197074}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.21762347}  {Name:n09399592 promontory, headland, head, foreland, Probability:0.15818274}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.5681011}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.43053722}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.0007395121}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8528199}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.14654788}  {Name:n02105056 groenendael, Probability:0.00043225175}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9625831}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03675099}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.00033051876}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99557966}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0025185954}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0009189346}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.96337646}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.030646857}  {Name:n01883070 wombat, Probability:0.005045597}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8667838}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.13137096}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0018282464}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9722106}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.009201606}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0038631791}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.27222705}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.23272869}  {Name:n02403003 ox, Probability:0.14517833}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6130632}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.38602924}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.00025596312}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9680393}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.010769022}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.00607405}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9312339}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.059557002}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.009154483}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9862732}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011532053}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0007864488}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9961733}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036541664}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00016966402}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99473035}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.004088267}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.001172703}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7352202}  {Name:n01871265 tusker, Probability:0.062315468}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.05726629}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97839075}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016425984}  {Name:n02105056 groenendael, Probability:0.0020770875}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6624251}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.23451738}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.086014114}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97482216}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.024606673}  {Name:n01883070 wombat, Probability:0.00023978164}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6944431}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.1684739}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.06790932}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97534573}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0181553}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.006003357}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9987011}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0010472612}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0002449791}
{Name:n04090263 rifle, Probability:0.14730671}  {Name:n02749479 assault rifle, assault gun, Probability:0.12307208}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.11979743}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5676746}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.26406392}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.11954373}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.7799909}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.17840748}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.036485914}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9917556}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0038469704}  {Name:n01883070 wombat, Probability:0.0012945919}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9726045}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.015088046}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.009168432}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8333084}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.15020028}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01102844}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9091635}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.030312644}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.008605996}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.942947}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.034174327}  {Name:n02137549 mongoose, Probability:0.012231744}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.5391087}  {Name:n02104365 schipperke, Probability:0.18741655}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.10711528}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97561127}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.016969102}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0026188467}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.37644202}  {Name:n01883070 wombat, Probability:0.17128362}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.15615465}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9988306}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0008777056}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00020056374}
{Name:n02492660 howler monkey, howler, Probability:0.3605909}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.18569347}  {Name:n02488702 colobus, colobus monkey, Probability:0.08482692}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9713948}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.02012124}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0036275631}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92542946}  {Name:n02104365 schipperke, Probability:0.049121235}  {Name:n02105412 kelpie, Probability:0.006378162}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.7178293}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.2820711}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:4.44506e-05}
{Name:n09468604 valley, vale, Probability:0.21476921}  {Name:n09332890 lakeside, lakeshore, Probability:0.0848844}  {Name:n02363005 beaver, Probability:0.051843364}
{Name:n02437616 llama, Probability:0.15325953}  {Name:n03000134 chainlink fence, Probability:0.08520591}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.07623512}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.69852954}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.30087364}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0005950129}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.94703585}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.049609724}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0014250305}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99733967}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0025352812}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00012355522}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91984606}  {Name:n02104365 schipperke, Probability:0.042823408}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.007735825}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9985545}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0006024742}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0005082455}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6379593}  {Name:n02104365 schipperke, Probability:0.17809182}  {Name:n02105056 groenendael, Probability:0.052373633}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.611414}  {Name:n02111277 Newfoundland, Newfoundland dog, Probability:0.13146295}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.104194894}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.55377287}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.267275}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.07828833}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9563399}  {Name:n02492660 howler monkey, howler, Probability:0.013404962}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0077428594}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9914101}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0077272304}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0007884218}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.40541127}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.30893257}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.10383563}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.66121984}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.22314563}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.11049544}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.26080984}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.20088445}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.11953039}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.88911474}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.07959684}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.031142106}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9632188}  {Name:n02104365 schipperke, Probability:0.015777085}  {Name:n02105056 groenendael, Probability:0.008875424}
{Name:n11879895 rapeseed, Probability:0.6188493}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.11529689}  {Name:n02105056 groenendael, Probability:0.04114446}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99716455}  {Name:n02104365 schipperke, Probability:0.0011380543}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0009298544}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9844707}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0148335975}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00028297177}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6750385}  {Name:n02104365 schipperke, Probability:0.074313566}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.053957805}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8972586}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.083117925}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009378613}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.998885}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.001025235}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:8.891318e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.48709998}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.26012927}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.1218376}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6865204}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.17884497}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.02695876}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.99402064}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0058222343}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:6.400148e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8778037}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.046685535}  {Name:n02492660 howler monkey, howler, Probability:0.022321766}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.992046}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0036122093}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003592421}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.72450703}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.27286068}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.00080435385}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8398517}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01674431}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.015814235}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9728659}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.022167772}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0041090893}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.6416951}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.16375315}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.07559844}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97016543}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.027245909}  {Name:n02104365 schipperke, Probability:0.000602881}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9755416}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.01778391}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0026928976}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9379441}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.044277024}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0169562}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91208124}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.08768317}  {Name:n02104365 schipperke, Probability:0.0001199353}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92287743}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.031076437}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.024785252}
{Name:n03291819 envelope, Probability:0.8252077}  {Name:n06359193 web site, website, internet site, site, Probability:0.13235685}  {Name:n02971356 carton, Probability:0.0032872655}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.6704798}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.32947245}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:3.843527e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9770085}  {Name:n02105056 groenendael, Probability:0.008258043}  {Name:n02097130 giant schnauzer, Probability:0.004546784}
{Name:n02101006 Gordon setter, Probability:0.22923885}  {Name:n02097130 giant schnauzer, Probability:0.21088363}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1849271}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.25588417}  {Name:n02107574 Greater Swiss Mountain dog, Probability:0.10811759}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07614658}
{Name:n03000134 chainlink fence, Probability:0.53041303}  {Name:n04540053 volleyball, Probability:0.108810075}  {Name:n03535780 horizontal bar, high bar, Probability:0.048155095}
