{Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.35942364}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.21924742}  {Name:n02104029 kuvasz, Probability:0.2172781}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9925101}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0069145714}  {Name:n02111500 Great Pyrenees, Probability:0.00016169348}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7732232}  {Name:n02361337 marmot, Probability:0.0958889}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.028508691}
{Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.5885332}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.28368017}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.03974515}
{Name:n02410509 bison, Probability:0.57062906}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.30852315}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.06181571}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.8788257}  {Name:n02490219 marmoset, Probability:0.05115008}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.027461797}
{Name:n02115913 dhole, Cuon alpinus, Probability:0.57713836}  {Name:n02089973 English foxhound, Probability:0.118273415}  {Name:n02112137 chow, chow chow, Probability:0.11622408}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.96719176}  {Name:n02077923 sea lion, Probability:0.013183532}  {Name:n02444819 otter, Probability:0.00532482}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02417914 ibex, Capra ibex, Probability:0.34740254}  {Name:n01677366 common iguana, iguana, Iguana iguana, Probability:0.071104005}  {Name:n02415577 bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, Probability:0.0668833}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.20720807}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.15752393}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.09287001}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9954353}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0031143473}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.000755944}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.37992084}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.21408264}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.13059044}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.7465933}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1083684}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.07439865}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.74701774}  {Name:n02410509 bison, Probability:0.23555955}  {Name:n02403003 ox, Probability:0.010484994}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.484586}  {Name:n02111889 Samoyed, Samoyede, Probability:0.311926}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.15826452}
{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.80276173}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.08849478}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.053500123}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9999989}  {Name:n04399382 teddy, teddy bear, Probability:6.7381313e-07}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:2.3877624e-07}
{Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.20630352}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.12950295}  {Name:n02077923 sea lion, Probability:0.08287563}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.41965875}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.17148942}  {Name:n01883070 wombat, Probability:0.0790712}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99881613}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0008726368}  {Name:n02104029 kuvasz, Probability:0.00012530995}
{Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.6753871}  {Name:n02074367 dugong, Dugong dugon, Probability:0.13739325}  {Name:n01491361 tiger shark, Galeocerdo cuvieri, Probability:0.069836795}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9920459}  {Name:n02444819 otter, Probability:0.0028177665}  {Name:n02442845 mink, Probability:0.00057003374}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9537131}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.035924546}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.008921712}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.29032397}  {Name:n01855672 goose, Probability:0.08798555}  {Name:n01847000 drake, Probability:0.05246535}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99963665}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.000148108}  {Name:n02104029 kuvasz, Probability:7.227602e-05}
{Name:n03042490 cliff dwelling, Probability:0.6542426}  {Name:n02410509 bison, Probability:0.18582644}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.03181942}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.32629353}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.061110847}  {Name:n02492660 howler monkey, howler, Probability:0.044440646}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9750693}  {Name:n02104029 kuvasz, Probability:0.0077610775}  {Name:n02111500 Great Pyrenees, Probability:0.0034756092}
{Name:n02111500 Great Pyrenees, Probability:0.37852603}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.26638323}  {Name:n02111889 Samoyed, Samoyede, Probability:0.22105289}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.83321935}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.10722563}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.028977009}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9994467}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00029413268}  {Name:n01883070 wombat, Probability:9.123961e-05}
{Name:n03042490 cliff dwelling, Probability:0.18685222}  {Name:n03998194 prayer rug, prayer mat, Probability:0.11729233}  {Name:n02410509 bison, Probability:0.0900052}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.25865245}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.25808915}  {Name:n01697457 African crocodile, Nile crocodile, Crocodylus niloticus, Probability:0.07858186}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02894605 breakwater, groin, groyne, mole, bulwark, seawall, jetty, Probability:0.18141118}  {Name:n04606251 wreck, Probability:0.15839858}  {Name:n02094114 Norfolk terrier, Probability:0.12091875}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.82011676}  {Name:n02117135 hyena, hyaena, Probability:0.12682673}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.04938956}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.30490392}  {Name:n02137549 mongoose, Probability:0.14874972}  {Name:n02486410 baboon, Probability:0.12406502}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9995902}  {Name:n01883070 wombat, Probability:0.00010298099}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:9.2796676e-05}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.97453994}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.0051260204}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0049989694}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.98756593}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.011138469}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0003678095}
{Name:n02077923 sea lion, Probability:0.43278396}  {Name:n02444819 otter, Probability:0.12681606}  {Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.11101093}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.81793076}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.044996444}  {Name:n02006656 spoonbill, Probability:0.015323102}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9014631}  {Name:n02098286 West Highland white terrier, Probability:0.017075289}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.013327297}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.63538927}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.06362609}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.061134774}
{Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.51452166}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.4409196}  {Name:n02074367 dugong, Dugong dugon, Probability:0.018925026}
{Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.38373417}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.14315596}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.13175046}
{Name:n02101006 Gordon setter, Probability:0.09784782}  {Name:n02099267 flat-coated retriever, Probability:0.075438}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.057891972}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9380921}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.015889619}  {Name:n02127052 lynx, catamount, Probability:0.005414539}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9998989}  {Name:n02104029 kuvasz, Probability:5.333658e-05}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:3.9896993e-05}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8517587}  {Name:n02363005 beaver, Probability:0.028655462}  {Name:n02137549 mongoose, Probability:0.016290374}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92759615}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.011390351}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.010604002}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.84383094}  {Name:n02410509 bison, Probability:0.1079671}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.017674278}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.99605715}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.002850278}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.0010270135}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9991254}  {Name:n02077923 sea lion, Probability:0.00048211464}  {Name:n02074367 dugong, Dugong dugon, Probability:0.00024932952}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.29170695}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.12015298}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.09249502}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99758077}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.001815685}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.00036360897}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8873686}  {Name:n02074367 dugong, Dugong dugon, Probability:0.089931585}  {Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.011589969}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.701941}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.10572407}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.087709874}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.33596078}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.066468395}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.05120018}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.4534049}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.041303404}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.037661355}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.44872558}  {Name:n02104029 kuvasz, Probability:0.16207434}  {Name:n02113799 standard poodle, Probability:0.0994881}
{Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.9826968}  {Name:n02480495 orangutan, orang, orangutang, Pongo pygmaeus, Probability:0.0059065553}  {Name:n02092339 Weimaraner, Probability:0.0040548923}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9550145}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.006474683}  {Name:n02102973 Irish water spaniel, Probability:0.0064378637}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.993089}  {Name:n02444819 otter, Probability:0.0027543204}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0014101408}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.78350484}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.21478087}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0011639885}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9013478}  {Name:n02105056 groenendael, Probability:0.032521587}  {Name:n02104365 schipperke, Probability:0.020367062}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.5535493}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.17111859}  {Name:n02104029 kuvasz, Probability:0.07516515}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92105114}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.043787073}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.011063676}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.93466634}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.063296}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.00090337696}
{Name:n02410509 bison, Probability:0.38705873}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.25643453}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.2488921}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.64490575}  {Name:n02119789 kit fox, Vulpes macrotis, Probability:0.03667541}  {Name:n02117135 hyena, hyaena, Probability:0.027241778}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.93463176}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.02090863}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.01951359}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9366478}  {Name:n02410509 bison, Probability:0.027156953}  {Name:n02486410 baboon, Probability:0.008379881}
{Name:n04371774 swing, Probability:0.09046945}  {Name:n03000134 chainlink fence, Probability:0.085032694}  {Name:n03535780 horizontal bar, high bar, Probability:0.04201979}
{Name:n02108422 bull mastiff, Probability:0.20033036}  {Name:n02105162 malinois, Probability:0.068468496}  {Name:n02105251 briard, Probability:0.06136821}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02106662 German shepherd, German shepherd dog, German police dog, alsatian, Probability:0.13177195}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.12139215}  {Name:n02493793 spider monkey, Ateles geoffroyi, Probability:0.08507155}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.37027565}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.33151054}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.09081778}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.62342274}  {Name:n02410509 bison, Probability:0.0980021}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.0798118}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.5000852}  {Name:n02074367 dugong, Dugong dugon, Probability:0.09224393}  {Name:n02444819 otter, Probability:0.066391915}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8853781}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.063204646}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.042649265}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.3158533}  {Name:n09229709 bubble, Probability:0.052254446}  {Name:n03857828 oscilloscope, scope, cathode-ray oscilloscope, CRO, Probability:0.050082028}
{Name:n03291819 envelope, Probability:0.92593837}  {Name:n04118776 rule, ruler, Probability:0.019035548}  {Name:n06359193 web site, website, internet site, site, Probability:0.004807705}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9299327}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.05688553}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.009069443}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9908416}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0029704133}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.001915317}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9871163}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.004767127}  {Name:n02480855 gorilla, Gorilla gorilla, Probability:0.002838254}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9917149}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0054264273}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0024927345}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.99216425}  {Name:n02104029 kuvasz, Probability:0.004902729}  {Name:n02111500 Great Pyrenees, Probability:0.0017271294}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9780326}  {Name:n02410509 bison, Probability:0.011226435}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0019645148}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9990839}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00035876493}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00012820955}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9835511}  {Name:n02104029 kuvasz, Probability:0.011334009}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0030593986}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.79990935}  {Name:n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, Probability:0.051800497}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.03898709}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.926859}  {Name:n01883070 wombat, Probability:0.013758613}  {Name:n02077923 sea lion, Probability:0.007982994}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8664687}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.104981445}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.008531402}
{Name:n02112137 chow, chow chow, Probability:0.35203868}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.13646747}  {Name:n02117135 hyena, hyaena, Probability:0.09988107}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.99971014}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.00015887896}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00010343876}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.96954054}  {Name:n02074367 dugong, Dugong dugon, Probability:0.006404636}  {Name:n02526121 eel, Probability:0.0054988456}
