{Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.2975172}  {Name:n02115641 dingo, warrigal, warragal, Canis dingo, Probability:0.17326921}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.13703984}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.92160374}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.0013203536}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0008230129}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.085912235}  {Name:n02117135 hyena, hyaena, Probability:0.054129474}  {Name:n09428293 seashore, coast, seacoast, sea-coast, Probability:0.04696819}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8632852}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.007580676}  {Name:n02410509 bison, Probability:0.0027409396}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9308736}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0021136976}  {Name:n02280649 cabbage butterfly, Probability:0.00097587134}
{Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.47542933}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.17058805}  {Name:n01494475 hammerhead, hammerhead shark, Probability:0.021814827}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.85997564}  {Name:n02877765 bottlecap, Probability:0.0027780065}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0012190511}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.897388}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0019939984}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017887506}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.96359223}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0011969537}  {Name:n03249569 drum, membranophone, tympan, Probability:0.0008341275}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8607949}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0041592065}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.003744348}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.22804627}  {Name:n09468604 valley, vale, Probability:0.19954339}  {Name:n09428293 seashore, coast, seacoast, sea-coast, Probability:0.088535234}
{Name:n01616318 vulture, Probability:0.38606748}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.15135692}  {Name:n02492660 howler monkey, howler, Probability:0.106492296}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8869105}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0024950553}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0023143347}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9847947}  {Name:n02441942 weasel, Probability:0.0025694617}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.00050676597}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5859986}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.23869634}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.028695138}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.95936805}  {Name:n04067472 reel, Probability:0.0012476019}  {Name:n02877765 bottlecap, Probability:0.00077267154}
{Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.8423599}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.029959198}  {Name:n02415577 bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, Probability:0.007928721}
{Name:n02077923 sea lion, Probability:0.5979104}  {Name:n02444819 otter, Probability:0.055933364}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.025321199}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.541975}  {Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.059638318}  {Name:n02486410 baboon, Probability:0.018692262}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8333237}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0272722}  {Name:n02877765 bottlecap, Probability:0.0073949303}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.88264793}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0032988985}  {Name:n02117135 hyena, hyaena, Probability:0.0031966642}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9685836}  {Name:n02447366 badger, Probability:0.00047779837}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.00034333093}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9729177}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0028127802}  {Name:n01883070 wombat, Probability:0.00060396834}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9343681}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0037450737}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0026781047}
{Name:n02077923 sea lion, Probability:0.33053052}  {Name:n02444819 otter, Probability:0.09338102}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.066702865}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.700987}  {Name:n02444819 otter, Probability:0.016524544}  {Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.012420337}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9589749}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0020750917}  {Name:n02105505 komondor, Probability:0.00066190463}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.71578103}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.04788638}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.042054724}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9108591}  {Name:n02074367 dugong, Dugong dugon, Probability:0.031791955}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0031278592}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.716672}  {Name:n03372029 flute, transverse flute, Probability:0.0114653725}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.009338663}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.18867216}  {Name:n02486410 baboon, Probability:0.16869535}  {Name:n02100877 Irish setter, red setter, Probability:0.13388917}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8911412}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0023801492}  {Name:n02102973 Irish water spaniel, Probability:0.0014818191}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92917687}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0016105111}  {Name:n02111500 Great Pyrenees, Probability:0.0012228583}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9508467}  {Name:n02410509 bison, Probability:0.0017250042}  {Name:n02361337 marmot, Probability:0.0017173281}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.7552945}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.053334255}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.013708281}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9854565}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00073362776}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00037774027}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9548467}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00059394754}  {Name:n02107683 Bernese mountain dog, Probability:0.00040676622}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8608162}  {Name:n01498041 stingray, Probability:0.0053190384}  {Name:n01496331 electric ray, crampfish, numbfish, torpedo, Probability:0.0041107284}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.92228305}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.008570857}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0054962323}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9634336}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.001161351}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00088509975}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98645985}  {Name:n02099712 Labrador retriever, Probability:0.00033794963}  {Name:n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, Probability:0.00024983517}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7959388}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.035933383}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.020498157}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.64274573}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.21710674}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0056062397}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.28293398}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1470709}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.06629321}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9514625}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0018825684}  {Name:n02099712 Labrador retriever, Probability:0.00077891554}
{Name:n02077923 sea lion, Probability:0.82224995}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.014194961}  {Name:n02074367 dugong, Dugong dugon, Probability:0.010994685}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9514967}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0034365174}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.001982231}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.96304727}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0045338715}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0007149057}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.91553074}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0120716775}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0051553003}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.45242766}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.23707864}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.025842302}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9482522}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0028349916}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0017073706}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.88255143}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.006276049}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0038966087}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.96337533}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.0011593807}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00073732156}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8528029}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.057868935}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036002863}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.51924294}  {Name:n02117135 hyena, hyaena, Probability:0.10366009}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.055057134}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8102552}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.007220961}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0038629503}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9435392}  {Name:n02877765 bottlecap, Probability:0.0040399237}  {Name:n02117135 hyena, hyaena, Probability:0.0012801664}
{Name:n03000134 chainlink fence, Probability:0.8373453}  {Name:n04366367 suspension bridge, Probability:0.051262148}  {Name:n04604644 worm fence, snake fence, snake-rail fence, Virginia fence, Probability:0.025357105}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.7603816}  {Name:n04465501 tractor, Probability:0.052301217}  {Name:n03496892 harvester, reaper, Probability:0.032938275}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.55853057}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1397788}  {Name:n02116738 African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus, Probability:0.035134956}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.35603344}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.15399137}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.08326779}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8429955}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.03115788}  {Name:n02117135 hyena, hyaena, Probability:0.0096787345}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8166316}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0058378195}  {Name:n01664065 loggerhead, loggerhead turtle, Caretta caretta, Probability:0.005012164}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.955644}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0028215717}  {Name:n02280649 cabbage butterfly, Probability:0.0007504752}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9937211}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.00044189958}  {Name:n02099712 Labrador retriever, Probability:0.00035559834}
{Name:n03291819 envelope, Probability:0.5014566}  {Name:n06359193 web site, website, internet site, site, Probability:0.13259448}  {Name:n02708093 analog clock, Probability:0.020295748}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8692575}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0045091193}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.0029668882}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.98763835}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.00053520146}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00044382835}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8901091}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.011654164}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003803848}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9186394}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.018773379}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.005564122}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.88215417}  {Name:n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, Probability:0.002136852}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0019722153}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.93893975}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0010816271}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0010429773}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.87235576}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.0052575874}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.003091282}
