{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.720621}  {Name:n02117135 hyena, hyaena, Probability:0.0041738865}  {Name:n01695060 Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, Probability:0.0032659937}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.900821}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.010477951}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0019407943}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.90386397}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0012055195}  {Name:n02410509 bison, Probability:0.0011195107}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8346757}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036647448}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0019894785}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9189323}  {Name:n01877812 wallaby, brush kangaroo, Probability:0.02275963}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0057795714}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9464054}  {Name:n01883070 wombat, Probability:0.0007384656}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0006636193}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92475796}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.00242946}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0006343548}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8571087}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009309298}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0058712983}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8735467}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.002932942}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006720867}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.89374334}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0053882836}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0006829507}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.43541387}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.2810214}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0053771404}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8822143}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.007112838}  {Name:n02481823 chimpanzee, chimp, Pan troglodytes, Probability:0.004876075}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8715217}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0041924855}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00205732}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9827498}  {Name:n03355925 flagpole, flagstaff, Probability:0.00030636613}  {Name:n03538406 horse cart, horse-cart, Probability:0.0002947213}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.29943317}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.08819747}  {Name:n02102480 Sussex spaniel, Probability:0.061619602}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8887957}  {Name:n02077923 sea lion, Probability:0.0008389086}  {Name:n02444819 otter, Probability:0.000837449}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.72152853}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.021050137}  {Name:n02361337 marmot, Probability:0.00929656}
{Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.43984556}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.19055279}  {Name:n02395406 hog, pig, grunter, squealer, Sus scrofa, Probability:0.11692912}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.9322877}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.014820421}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003016727}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.8485435}  {Name:n02445715 skunk, polecat, wood pussy, Probability:0.002448138}  {Name:n02116738 African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus, Probability:0.0011176456}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9473377}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0032720729}  {Name:n02403003 ox, Probability:0.0012239079}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.88908976}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.011980857}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.005903101}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.86933714}  {Name:n02111500 Great Pyrenees, Probability:0.008309394}  {Name:n02077923 sea lion, Probability:0.0030562824}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.7391907}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.01994134}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.013387128}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9286686}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.001001059}  {Name:n04399382 teddy, teddy bear, Probability:0.00059480395}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.5980193}  {Name:n02099849 Chesapeake Bay retriever, Probability:0.0899838}  {Name:n02100877 Irish setter, red setter, Probability:0.02508778}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7505643}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.061149795}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0045837136}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8604748}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0028630171}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0016281832}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.6011816}  {Name:n02074367 dugong, Dugong dugon, Probability:0.115888625}  {Name:n01494475 hammerhead, hammerhead shark, Probability:0.028306296}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8888155}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0022257415}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0014105925}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.91288155}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0025615701}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0014290964}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.9171223}  {Name:n02058221 albatross, mollymawk, Probability:0.008169249}  {Name:n01855672 goose, Probability:0.003966391}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.91169614}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.002077549}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0004998837}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7186369}  {Name:n02056570 king penguin, Aptenodytes patagonica, Probability:0.018228363}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.016207654}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.90331346}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.022898095}  {Name:n02492660 howler monkey, howler, Probability:0.008798055}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.84119004}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018197806}  {Name:n02361337 marmot, Probability:0.0010919526}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9454399}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0030966403}  {Name:n02441942 weasel, Probability:0.00061620236}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.6393338}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.1571766}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.011823616}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.89894444}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.002198389}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0015464352}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.835252}  {Name:n02437312 Arabian camel, dromedary, Camelus dromedarius, Probability:0.065200344}  {Name:n02444819 otter, Probability:0.022974415}
{Name:n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius, Probability:0.4106565}  {Name:n02444819 otter, Probability:0.12961195}  {Name:n02077923 sea lion, Probability:0.09704956}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.82888293}  {Name:n02056570 king penguin, Aptenodytes patagonica, Probability:0.021825723}  {Name:n02093991 Irish terrier, Probability:0.019092454}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.916326}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0019009898}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0011327628}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.90868753}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.012625468}  {Name:n02396427 wild boar, boar, Sus scrofa, Probability:0.0017896199}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.93106604}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0009902429}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0009582143}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.88862455}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.007542489}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0014364873}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8978551}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0049930857}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0044321967}
{Name:n02444819 otter, Probability:0.34802374}  {Name:n02077923 sea lion, Probability:0.18116283}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.17414835}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.5995529}  {Name:n02444819 otter, Probability:0.10117172}  {Name:n02077923 sea lion, Probability:0.042853385}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.90526646}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0008083385}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0005320246}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7873534}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.021733686}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003762959}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8553533}  {Name:n02074367 dugong, Dugong dugon, Probability:0.0053550433}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0011022054}
{Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.97040343}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.008259973}  {Name:n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens, Probability:0.001834935}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.44388768}  {Name:n02486410 baboon, Probability:0.3879955}  {Name:n02137549 mongoose, Probability:0.005421735}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8440553}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0039572353}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0036783936}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.9133055}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0031399247}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.00054986804}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.76949793}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.032872483}  {Name:n02361337 marmot, Probability:0.025521291}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.873229}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.007274521}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0017978686}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9456652}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0024677454}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0010083833}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.9296616}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0009732609}  {Name:n03538406 horse cart, horse-cart, Probability:0.0008570583}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.90261316}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0012813178}  {Name:n02074367 dugong, Dugong dugon, Probability:0.000666495}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.9398791}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0056242063}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0011245714}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.87812513}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.002529357}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0009145013}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.90937185}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0009765038}  {Name:n07753275 pineapple, ananas, Probability:0.00048436594}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.7648057}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.07377688}  {Name:n02483708 siamang, Hylobates syndactylus, Symphalangus syndactylus, Probability:0.012930242}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.89262104}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.016029878}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0027048127}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.7103172}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.047667842}  {Name:n02112137 chow, chow chow, Probability:0.011048701}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.89769614}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0017910646}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00061967963}
{Name:n02077923 sea lion, Probability:0.82542014}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.015137696}  {Name:n02444819 otter, Probability:0.00903586}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8888727}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0025384815}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0013271936}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.92819315}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.026767086}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0016620823}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.86899036}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.009047723}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.007215549}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.8253905}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.045243587}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.026350288}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.89729726}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0035063848}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0014816364}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8724554}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0022901664}  {Name:n02510455 giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, Probability:0.0018438122}
{Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.96352214}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0011008453}  {Name:n03538406 horse cart, horse-cart, Probability:0.0006465176}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.86552715}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.008468825}  {Name:n01883070 wombat, Probability:0.0040887836}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8667888}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.012450199}  {Name:n02117135 hyena, hyaena, Probability:0.0032730831}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8882949}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0034722423}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00086907524}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8333171}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.004272061}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0040444345}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.48555318}  {Name:n03000134 chainlink fence, Probability:0.059653014}  {Name:n02504458 African elephant, Loxodonta africana, Probability:0.024428781}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.6329112}  {Name:n04465501 tractor, Probability:0.118066356}  {Name:n03496892 harvester, reaper, Probability:0.025273109}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.808315}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.032557234}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.008413634}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.8279491}  {Name:n02112137 chow, chow chow, Probability:0.0024547945}  {Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.0022547094}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.88113004}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.049276445}  {Name:n01883070 wombat, Probability:0.0065172845}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.97451675}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0036474445}  {Name:n02108915 French bulldog, Probability:0.0008448172}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.88973516}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0028286849}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.00092568697}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.88166916}  {Name:n09229709 bubble, Probability:0.0136288935}  {Name:n02077923 sea lion, Probability:0.0022235545}
{Name:n03291819 envelope, Probability:0.88372856}  {Name:n06359193 web site, website, internet site, site, Probability:0.019584967}  {Name:n02840245 binder, ring-binder, Probability:0.0027651817}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8979511}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0018096406}  {Name:n02114548 white wolf, Arctic wolf, Canis lupus tundrarum, Probability:0.0008401581}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.92812604}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0022506213}  {Name:n02120079 Arctic fox, white fox, Alopex lagopus, Probability:0.0011743665}
{Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.92696553}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0060650553}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.003448857}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.8982983}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.014212912}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0015549299}
{Name:n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, Probability:0.90887034}  {Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.0028344642}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.0005657052}
{Name:n02132136 brown bear, bruin, Ursus arctos, Probability:0.86001694}  {Name:n02133161 American black bear, black bear, Ursus americanus, Euarctos americanus, Probability:0.003555704}  {Name:n02134418 sloth bear, Melursus ursinus, Ursus ursinus, Probability:0.0023496624}
